Platform,Account_Name,Total_Posts,Analysis_Days,Avg_Daily_Posts,Peak_Hour,Peak_Hour_Count,Peak_Day,Peak_Day_Name,Peak_Day_Count
Weibo,一汽-大众,1175,364,3.228021978021978,9,474,0,Monday,210
Weibo,上汽集团ROEWE荣威,896,362,2.4751381215469612,9,152,3,Thursday,161
Weibo,东风日产,3444,364,9.461538461538462,10,482,5,Saturday,590
Weibo,丰田中国,802,361,2.221606648199446,10,257,2,Wednesday,155
Weibo,保时捷,380,363,1.046831955922865,17,62,1,Tuesday,82
Weibo,吉利汽车,412,174,2.367816091954023,9,74,3,Thursday,90
Weibo,哈弗SUV,2596,364,7.131868131868132,10,260,4,Friday,442
Weibo,坦克SUV,3672,364,10.087912087912088,9,912,2,Wednesday,590
Weibo,大众汽车金融中国,176,359,0.49025069637883006,10,50,4,Friday,52
Weibo,奥迪,1042,361,2.886426592797784,9,416,4,Friday,182
Weibo,宝马中国,626,363,1.7245179063360883,10,208,4,Friday,116
Weibo,小鹏汽车,4142,364,11.37912087912088,14,550,3,Thursday,834
Weibo,广汽集团,4199,364,11.535714285714286,18,996,0,Monday,780
Weibo,本田中国,745,363,2.0523415977961434,18,343,0,Monday,193
Weibo,极氪Zeekr,5402,364,14.840659340659341,10,798,4,Friday,1032
Weibo,梅赛德斯-奔驰,838,363,2.3085399449035813,10,336,4,Friday,168
Weibo,比亚迪汽车,1043,212,4.919811320754717,10,142,1,Tuesday,189
Weibo,沃尔沃汽车VolvoCars,1195,363,3.2920110192837466,9,217,4,Friday,232
Weibo,特斯拉,1183,364,3.25,11,146,4,Friday,248
Weibo,理想汽车,2718,364,7.467032967032967,18,320,1,Tuesday,504
Weibo,蔚来,2360,364,6.483516483516484,10,328,4,Friday,520
Weibo,长城汽车,2622,364,7.2032967032967035,10,398,4,Friday,482
Weibo,长安汽车,2584,364,7.0989010989010985,10,260,4,Friday,476
Weibo,领克汽车,4452,364,12.23076923076923,10,600,4,Friday,805
Weibo,魏牌新能源,2958,364,8.126373626373626,10,594,1,Tuesday,536
X,BMW,177,327,0.5412844036697247,-1,0,3,Thursday,32
X,BentleyMotors,139,285,0.48771929824561405,-1,0,4,Friday,28
X,Ferrari,369,308,1.198051948051948,-1,0,1,Tuesday,60
X,Ford,92,363,0.2534435261707989,-1,0,2,Wednesday,27
X,Global,105,344,0.30523255813953487,-1,0,3,Thursday,25
X,Honda,14,292,0.04794520547945205,-1,0,1,Tuesday,8
X,Jaguar,10,15,0.6666666666666666,-1,0,1,Tuesday,4
X,Lamborghini,279,365,0.7643835616438356,-1,0,3,Thursday,59
X,LandRover,21,169,0.1242603550295858,-1,0,3,Thursday,13
X,MazdaUSA,272,365,0.7452054794520548,-1,0,2,Wednesday,60
X,McLarenAuto,507,363,1.396694214876033,-1,0,6,Sunday,218
X,MercedesBenz,308,334,0.9221556886227545,-1,0,2,Wednesday,64
X,Nissan,39,341,0.11436950146627566,-1,0,2,Wednesday,13
X,Porsche,125,359,0.34818941504178275,-1,0,4,Friday,35
X,RollsRoyce,215,365,0.589041095890411,-1,0,2,Wednesday,55
X,Tesla,565,364,1.5521978021978022,-1,0,4,Friday,117
X,VolvoGroup,12,45,0.26666666666666666,-1,0,4,Friday,8
X,Worldwide,185,305,0.6065573770491803,-1,0,2,Wednesday,43
X,fiat,79,343,0.2303206997084548,-1,0,0,Monday,15
