Platform,Date,Total_Posts,7Day_Moving_Avg,30Day_Moving_Avg
Weibo,2024-08-01,141,141.0,141.0
Weibo,2024-08-02,161,151.0,151.0
Weibo,2024-08-03,87,129.66666666666666,129.66666666666666
Weibo,2024-08-04,81,117.5,117.5
Weibo,2024-08-05,112,116.4,116.4
Weibo,2024-08-06,140,120.33333333333333,120.33333333333333
Weibo,2024-08-07,184,129.42857142857142,129.42857142857142
Weibo,2024-08-08,163,132.57142857142858,133.625
Weibo,2024-08-09,163,132.85714285714286,136.88888888888889
Weibo,2024-08-10,116,137.0,134.8
Weibo,2024-08-11,73,135.85714285714286,129.1818181818182
Weibo,2024-08-12,131,138.57142857142858,129.33333333333334
Weibo,2024-08-13,181,144.42857142857142,133.30769230769232
Weibo,2024-08-14,109,133.71428571428572,131.57142857142858
Weibo,2024-08-15,126,128.42857142857142,131.2
Weibo,2024-08-16,159,127.85714285714286,132.9375
Weibo,2024-08-17,77,122.28571428571429,129.64705882352942
Weibo,2024-08-18,46,118.42857142857143,125.0
Weibo,2024-08-19,125,117.57142857142857,125.0
Weibo,2024-08-20,124,109.42857142857143,124.95
Weibo,2024-08-21,166,117.57142857142857,126.9047619047619
Weibo,2024-08-22,174,124.42857142857143,129.04545454545453
Weibo,2024-08-23,160,124.57142857142857,130.3913043478261
Weibo,2024-08-24,86,125.85714285714286,128.54166666666666
Weibo,2024-08-25,86,131.57142857142858,126.84
Weibo,2024-08-26,132,132.57142857142858,127.03846153846153
Weibo,2024-08-27,206,144.28571428571428,129.96296296296296
Weibo,2024-08-28,136,140.0,130.17857142857142
Weibo,2024-08-29,176,140.28571428571428,131.75862068965517
Weibo,2024-08-30,332,164.85714285714286,138.43333333333334
Weibo,2024-08-31,142,172.85714285714286,138.46666666666667
Weibo,2024-09-01,100,174.85714285714286,136.43333333333334
Weibo,2024-09-02,130,174.57142857142858,137.86666666666667
Weibo,2024-09-03,94,158.57142857142858,138.3
Weibo,2024-09-04,104,154.0,138.03333333333333
Weibo,2024-09-05,170,153.14285714285714,139.03333333333333
Weibo,2024-09-06,138,125.42857142857143,137.5
Weibo,2024-09-07,72,115.42857142857143,134.46666666666667
Weibo,2024-09-08,78,112.28571428571429,131.63333333333333
Weibo,2024-09-09,132,112.57142857142857,132.16666666666666
Weibo,2024-09-10,152,120.85714285714286,134.8
Weibo,2024-09-11,130,124.57142857142857,134.76666666666668
Weibo,2024-09-12,160,123.14285714285714,134.06666666666666
Weibo,2024-09-13,166,127.14285714285714,135.96666666666667
Weibo,2024-09-14,172,141.42857142857142,137.5
Weibo,2024-09-15,96,144.0,135.4
Weibo,2024-09-16,70,135.14285714285714,135.16666666666666
Weibo,2024-09-17,130,132.0,137.96666666666667
Weibo,2024-09-18,38,118.85714285714286,135.06666666666666
Weibo,2024-09-19,144,116.57142857142857,135.73333333333332
Weibo,2024-09-20,242,127.42857142857143,138.26666666666668
Weibo,2024-09-21,90,115.71428571428571,135.46666666666667
Weibo,2024-09-22,90,114.85714285714286,133.13333333333333
Weibo,2024-09-23,124,122.57142857142857,134.4
Weibo,2024-09-24,148,125.14285714285714,136.46666666666667
Weibo,2024-09-25,168,143.71428571428572,137.66666666666666
Weibo,2024-09-26,180,148.85714285714286,136.8
Weibo,2024-09-27,204,143.42857142857142,139.06666666666666
Weibo,2024-09-28,98,144.57142857142858,136.46666666666667
Weibo,2024-09-29,162,154.85714285714286,130.8
Weibo,2024-09-30,186,163.71428571428572,132.26666666666668
Weibo,2024-10-01,152,164.28571428571428,134.0
Weibo,2024-10-02,120,157.42857142857142,133.66666666666666
Weibo,2024-10-03,86,144.0,133.4
Weibo,2024-10-04,84,126.85714285714286,132.73333333333332
