content,created_at,likes,retweets,replies
"The all-new electric #CLA brings you far away from ordinary. FILE: LINK TO FULL PACKAGE Enjoy up to 792 km of range and charge up 325 km in just 10 minutes. It is the smartest #MercedesBenz ever: With its new AI-enhanced software on the new optional MBUS Superscreen, it marks",2025-07-02,0,0,0
"Following its world premiere in Shanghai, the Vision V has now embarked on its global Grand Tour - with the first stopover in Dubai. The Vision V is a highly elegant, chauffeur-driven limousine, with a special focus on the “Private Lounge” and ultimate comfort. It offers a",2025-06-11,0,0,0
Quiet enough to hear your own thoughts. julian.scheinkoenig (IG) for #MBcreator#MercedesBenz [Mercedes-Benz EQS 450 4MATIC | Combined energy consumption: 21.0–17.0 kWh/100 km | Combined CO₂ emissions: 0 g/km | CO₂ class: A],2025-06-03,0,0,0
This colour? Unforgettable. This car? Even more so. The Drive? Legendary. svenmeschner (IG) for #MBcreator#MercedesBenz#MercedesAMG [Mercedes-AMG GT 55 4MATIC+ | Combined energy consumption: 14.0 l/100 km | Combined CO₂ emissions: 319 g/km | CO₂ class: G],2025-05-22,0,0,0
"Our MBUX Voice Assistant can help you with just about anything, from what events are happening in your area, to where to eat afterwards. #BecauseItsMercedesBenz",2025-05-14,0,0,0
"Spring into comfort, literally. Winter’s finally over, and it’s time for plenty of sunlight, colours, and the scent of fresh flowers. And what better way to enjoy all this than with the CLE Cabriolet? Sporty, dynamic, and offering the comfort of lounging on your favourite",2025-03-27,0,0,0
"On course to set the standards for class-leading electric mobility: the all-new #CLA. Built electric-first and boasting features incorporated from the VISION EQXX concept car, it makes charging almost as easy and fast as refuelling. Also, its remarkable efficiency helps",2025-03-13,0,0,0
"Are you ready to level up with the Mercedes-AMG GT 63 PRO 4MATIC+? We surely are! The AMG 4.0-litre V8 biturbo engine in the 450 kW (612 hp) configuration ensures superior propulsion. It delivers 20 kW (27 hp) more than in the AMG GT 63, and the experts in Affalterbach have",2025-03-05,0,0,0
"Looking for an all-wheel drive car that meets all your mobility needs and individual preferences? Then the E-Class All-Terrain is just the car for you. Proven off-road technology, striking AVANTGARDE exterior and overall high functionality make the E-Class ideal for long",2025-02-26,0,0,0
More than spectacular: the #SClass. sebastiankubatz (IG) for #MBcreator#MercedesBenz#MANUFAKTUR,2025-02-20,0,0,0
"It's not just a car, it's a masterpiece – discover the meticulous craftsmanship. #MercedesBenz#MercedesAMG#SL [Mercedes-AMG SL 63 4MATIC+ | Energieverbrauch kombiniert: 13,4‒13 l/100 km | CO₂-Emissionen kombiniert: 306‒296 g/km | CO₂-Klasse: G]",2025-02-14,0,0,0
The #EClass in its prime. #MercedesBenz,2025-01-29,0,0,0
Warning: The S-Class #MANUFAKTUR may cause excessive jaw-dropping. Proceed with caution . #MercedesBenz#SClass,2025-01-22,0,0,0
"Timeless design, groundbreaking safety: The Mercedes-Benz 230 SL “Pagoda” (W 113) set new standards in 1963 with its iconic concave roof and safety body. Discover the rally winner and style icon in Legend Room 5 at the Mercedes-Benz Museum. More: https://mb4.me/Pagoda-from-MB",2025-01-17,0,0,0
"[Mercedes-Benz G 580 mit EQ Technologie | Energieverbrauch kombiniert: 30,3‒27,7 kWh/100 km | CO₂-Emissionen kombiniert: 0 g/km | CO₂-Klasse: A] Offroad icon of the next era! The G 580 with EQ technology is equipped with virtual differential locks and exclusive off-road",2025-01-15,0,0,0
"Why settle for compromises when you can have it all? With our Electric Drive Unit 2.0 (EDU 2.0), we’re about to set a new benchmark in electric performance. Compact, efficient and versatile, it integrates motor, gearbox and power electronics into a seamless system designed for",2025-01-15,0,0,0
Looks always good. The Mercedes-AMG #GT. tomklockerphoto (IG) for #MBcreator#MercedesBenz#MercedesAMG,2025-01-14,0,0,0
"[Mercedes-AMG CLE 53 4MATIC+ Cabriolet | Energieverbrauch kombiniert: 9,8‒9,3 l/100 km | CO₂-Emissionen kombiniert: 223‒213 g/km | CO₂-Klasse: G] Celebrating some special Mercedes-AMG CLE 53 4MATIC+ Cabriolet features, such as the 3.0-litre six-cylinder engine. Equipped with",2025-01-14,0,0,0
Accelerate your dreams. http://danielmartinek.cz (IG) for #MBfanphoto#MercedesBenz#AMGclassic,2025-01-13,0,0,0
"Based on a diverse, continuous exchange of knowledge, Mercedes-Benz futurists have developed a vision for London in 2040 and beyond – one that’s traditional yet progressive and multimodal. For example, residents could enjoy a seamless, hyper-personalised experience thanks to AR",2025-01-13,0,0,0
"Constantly breaking new ground, always adapting to the situation. ashtonstan (IG) for #MBphotopass#MercedesBenz [Mercedes-AMG SL 55 4MATIC+ | Energieverbrauch kombiniert: 13,5‒12,9 l/100 km | CO₂-Emissionen kombiniert: 307‒293 g/km | CO₂-Klasse: G]",2025-01-10,0,0,0
What if you can have human-like conversations with your vehicle? That’s now possible with our MBUX Voice Assistant and AI-driven knowledge feature – providing accurate and up-to-date answers to a wide range of questions.,2025-01-10,0,0,0
Ready for your next ride? benjamin.studios (IG) for #MBcreator#MercedesBenz#MercedesAMG#GLS,2025-01-09,0,0,0
