Platform,Brand,Total_Posts,Avg_Daily_Posts,Median_Daily_Posts,Std_Daily_Posts,Max_Daily_Posts,Min_Daily_Posts,Active_Days,Active_Rate_Percent
Weibo,梅赛德斯-奔驰,838,2.2958904109589042,2.0,2.0055170030432823,14,0,277,75.89041095890411
Weibo,吉利汽车,412,1.1287671232876713,0.0,1.8832313424075262,9,0,141,38.63013698630137
Weibo,宝马中国,626,1.715068493150685,2.0,2.0730923465113515,16,0,218,59.726027397260275
Weibo,上汽集团ROEWE荣威,896,2.4547945205479453,2.0,2.674926367266875,20,0,240,65.75342465753424
Weibo,长安汽车,2584,7.079452054794521,6.0,6.602258997854851,68,0,340,93.15068493150685
Weibo,比亚迪汽车,1043,2.8575342465753426,1.0,3.673708108436798,17,0,200,54.794520547945204
Weibo,东风日产,3444,9.435616438356165,8.0,7.760093920480233,52,0,351,96.16438356164385
Weibo,一汽-大众,1175,3.219178082191781,2.0,3.583565107966482,40,0,276,75.61643835616438
Weibo,长城汽车,2622,7.183561643835616,6.0,6.843762976276121,38,0,324,88.76712328767124
Weibo,奥迪,1042,2.8547945205479452,2.0,2.456939102138722,14,0,281,76.98630136986301
Weibo,哈弗SUV,2596,7.112328767123287,6.0,5.868615193316017,30,0,333,91.23287671232877
Weibo,沃尔沃汽车VolvoCars,1195,3.2739726027397262,2.0,2.5205761702469056,14,0,308,84.38356164383562
Weibo,本田中国,745,2.041095890410959,2.0,2.414689228544766,22,0,215,58.9041095890411
Weibo,丰田中国,802,2.197260273972603,2.0,2.5708623324909445,16,0,231,63.287671232876704
Weibo,广汽集团,4199,11.504109589041096,12.0,5.451898508831087,30,2,365,100.0
Weibo,保时捷,380,1.0410958904109588,0.0,1.4028851370702953,8,0,151,41.369863013698634
Weibo,大众汽车金融中国,176,0.4821917808219178,0.0,1.1615807798745714,8,0,67,18.356164383561644
Weibo,特斯拉,1183,3.241095890410959,4.0,2.6699300118640363,20,0,283,77.53424657534246
Weibo,蔚来,2360,6.465753424657534,6.0,4.640014067158544,28,0,331,90.68493150684932
Weibo,小鹏汽车,4142,11.347945205479451,10.0,9.70453770588282,68,0,352,96.43835616438356
Weibo,理想汽车,2718,7.446575342465754,6.0,4.771771453028716,32,0,360,98.63013698630137
Weibo,领克汽车,4452,12.197260273972603,12.0,7.016424463606789,48,0,360,98.63013698630137
Weibo,魏牌新能源,2958,8.104109589041096,6.0,7.077289913196276,44,0,344,94.24657534246576
Weibo,极氪Zeekr,5402,14.8,12.0,14.189301030574528,108,0,354,96.98630136986301
Weibo,坦克SUV,3672,10.06027397260274,10.0,6.4032688193675344,34,0,360,98.63013698630137
X_Platform,BentleyMotors,139,0.3797814207650273,0.0,0.5187191351139063,3,0,134,36.6120218579235
X_Platform,BMW,177,0.48360655737704916,0.0,0.771764815024828,5,0,132,36.0655737704918
X_Platform,Ferrari,369,1.0081967213114753,1.0,0.8455773902124707,4,0,262,71.58469945355192
X_Platform,fiat,79,0.21584699453551912,0.0,0.46801266647094425,4,0,73,19.94535519125683
X_Platform,Ford,92,0.25136612021857924,0.0,0.5257071348347273,3,0,78,21.311475409836063
X_Platform,Honda,14,0.03825136612021858,0.0,0.19206506370696147,1,0,14,3.825136612021858
X_Platform,Global,105,0.28688524590163933,0.0,0.584917859074171,4,0,86,23.497267759562842
X_Platform,Jaguar,10,0.0273224043715847,0.0,0.2756152567316333,4,0,5,1.366120218579235
X_Platform,Worldwide,185,0.505464480874317,0.0,0.7392870890965143,4,0,139,37.97814207650273
X_Platform,Lamborghini,279,0.7622950819672131,1.0,0.7590904292713537,3,0,213,58.19672131147541
X_Platform,LandRover,21,0.05737704918032787,0.0,0.41146274974865016,6,0,11,3.0054644808743167
X_Platform,MazdaUSA,272,0.7431693989071039,1.0,0.8880607215714453,6,0,194,53.00546448087432
X_Platform,McLarenAuto,507,1.3852459016393444,1.0,2.4420294321702807,17,0,216,59.01639344262295
X_Platform,MercedesBenz,308,0.8415300546448088,0.0,1.128471803556924,4,0,149,40.7103825136612
X_Platform,Nissan,39,0.10655737704918032,0.0,0.31771557149451585,2,0,38,10.382513661202186
X_Platform,Porsche,125,0.34153005464480873,0.0,0.7144472778259249,6,0,91,24.863387978142075
X_Platform,RollsRoyce,215,0.587431693989071,0.0,0.6957841457760352,3,0,174,47.540983606557376
X_Platform,Tesla,565,1.5437158469945356,1.0,1.6902626418660205,18,0,263,71.85792349726776
X_Platform,VolvoGroup,12,0.03278688524590164,0.0,0.43669542809998263,8,0,4,1.092896174863388
